Fecha,Ticker,Utilidad Operacional del Trimestre / Activo Total,Utilidad Operacional del Trimestre / Activo Total (Promedio LTM),Margen EBITDA del Trimestre,Margen EBITDA del Trimestre (Promedio LTM),Margen Neto del Trimestre,Margen Neto del Trimestre (Promedio LTM),Utilidad Neta del Trimestre Anualizada / Total Patrimonio,Utilidad Neta del Trimestre Anualizada / Total Patrimonio (Promedio LTM),Total Activo / Total Patrimonio,Total Activo / Total Patrimonio (Promedio LTM),Deuda Neta / EBITDA del Trimestre Anualizado,Deuda Neta / EBITDA del Trimestre Anualizado (Promedio LTM),Deuda Bruta / Activo,Deuda Bruta / Activo (Promedio LTM),EBITDA del Trimestre Anualizado / Intereses,EBITDA del Trimestre Anualizado / Intereses (Promedio LTM),Crecimiento del EBITDA Últimos 12 Meses EBITDA,Crecimiento del EBITDA Últimos 12 Meses EBITDA (Promedio LTM),Ingresos del Trimestre Anualizados / Total Activo,Ingresos del Trimestre Anualizados / Total Activo (Promedio LTM),Activo Corto Plazo / Pasivo Corto Plazo,Activo Corto Plazo / Pasivo Corto Plazo (Promedio LTM),Rating Test,Rating Predicc
31/03/2014,IQ701143,0.059457722000000005,0.063567442,0.286108,0.295294,0.153776093,0.164575954,25.35,28.5273,1.624231674,1.697715616,-0.010567081,0.04547557,0.183105718,0.19296828100000002,128.4378399,265.8957792,28.166,48.198475,0.985318158,0.989832864,4.687701079,4.154217335,BBB,BBB
30/09/2016,IQ34378,0.021351929,0.021868102,0.7409479999999999,0.738863,0.372524256,0.34114215299999995,42.9112,39.4839,5.772494911,5.7603795589999995,5.536711714,5.54444077,0.728994468,0.731442313,18.72077139,18.13611223,4.4198,5.039575,0.171419939,0.172389376,0.40186929600000004,0.343567041,A,A
31/03/2014,IQ259378,0.018330035,0.017342378999999998,0.175817,0.16382425,0.069632203,0.068852585,17.9404,20.2976,4.143404193,4.488377599,3.6595902039999997,3.8029598339999997,0.45185255399999996,0.450603084,85.430932,69.62994009,19.5071,-11.900025,0.627557852,0.647675005,1.3910239969999998,1.383983866,A,A
30/06/2014,IQ876815,0.00598902,0.007294357,0.039896,0.044945667,0.024352332,0.016856636,6.7620000000000005,5.742533333,2.8940779969999997,3.008246508,0.7824748490000001,0.492882169,0.08983530199999999,0.084961471,51.33285333,55.18487111,-23.7624,-8.8037,1.2843120940000001,1.2697114520000001,1.087643678,1.079063031,BBB+,BBB+
31/12/2016,IQ189096,0.030565738999999998,0.033638928,0.057675,0.055576,0.020447464,0.018113382,38.9436,27.75493333,6.900372767,4.967884989,2.42327741,1.6902019119999998,0.474789998,0.415383345,42.98143079,42.67300597,33.2897,24.6563,3.05325414,3.304664925,1.58565964,1.848489221,BBB+,BBB+
31/12/2016,IQ255251,0.014241674,0.014887487,0.200985,0.20788975,0.11343089699999999,0.111983115,9.0952,9.0938,2.16809669,2.21238088,0.6012307929999999,0.801985095,0.163716429,0.16912428899999998,98.78479596,64.68115323,9.3246,0.69475,0.35703724200000003,0.356971018,2.9006975369999997,1.5757909959999998,AA,AA
30/09/2016,IQ269706,0.005908211,0.019938026,0.067076,0.12193325,-0.004561829,0.039584002,-0.5316,7.3046,2.057412769,1.985269405,-1.151059599,-1.0809484109999998,0.098977941,0.094439585,36.93772265,92.86043984,-58.4577,-18.2348,0.740988981,0.825266574,2.020251469,2.10650012,BBB+,BBB+
31/03/2017,IQ337183,0.005754792,0.01450655,0.199532,0.25010175,-0.191042378,-0.039270167,-64.2052,-12.1882,8.29821754,6.981927767999999,8.691430759,6.5123691589999995,0.8059845309999999,0.7837085690000001,7.623726443,10.81799177,-16.5603,-4.26895,0.44751319100000003,0.485867108,0.9192340390000001,0.930242762,B,B
30/09/2013,IQ30292,0.021958134,0.019889389,0.290838,0.27658025,0.005355731999999999,0.025029028,2.042,6.8065,5.951297653999999,5.699286273999999,4.383362923,4.413438064,0.630852753,0.616355151,13.40869649,12.95777316,-5.792999999999999,-10.500725,0.47369702,0.47546036700000005,1.137571515,1.107370061,BB-,BB-
30/06/2016,IQ12005713,0.021445783,0.016464253999999998,0.15079700000000001,0.1236285,0.038600103,0.023875815,11.59,7.8232,2.416302766,2.9837089,0.792665982,1.3467207730000001,0.190481928,0.22361542,65.11079356,49.30246313,-1.0136,4.7082,0.936385542,1.02378816,2.3629544140000003,1.911537386,BBB-,BBB-
31/03/2017,IQ25403751,0.026218832999999997,0.029056737000000003,0.205773,0.22416875,0.037162162,0.09351797199999999,10.5652,27.6557,4.684326711000001,4.945512503,4.297781156,4.123115998,0.522191757,0.531524592,16.96194653,18.629679199999998,4.3613,-19.988425,0.557964185,0.5628528389999999,1.4404494380000001,1.2131915340000001,BBB-,BB+
30/09/2015,IQ19691,0.025290577,0.026287447999999998,0.25181,0.27195125,0.18056528800000002,0.182865682,15.6504,15.5073,1.9006314169999998,1.839163265,-2.7104240269999997,-2.476611487,0.22342066100000002,0.204616381,86.81868,94.51742834,21.3963,10.553225,0.452692521,0.458970582,3.2291834230000003,3.22766842,AA-,AA-
30/09/2016,IQ258278,0.018454266,0.012521293999999999,0.43853100000000006,0.387102,0.20345640199999998,0.14200234,17.4516,10.9976,3.506205095,3.6151168819999997,4.128303005,5.692729355,0.44383383,0.4567992,20.29999865,15.61649768,3.7157,2.03805,0.23714605100000002,0.205495525,0.710949306,0.775986983,A,A
30/09/2015,IQ61036,0.021293892999999998,0.020791586,0.17677,0.1643535,0.038657528999999996,0.039416446,17.6876,17.0657,7.15458613,5.949742999,0.9172482809999999,1.82490913,0.301428973,0.326683634,25.46830557,24.23296571,-7.1956,-3.289866667,0.71179763,0.785188605,1.335917042,1.518747025,BBB,BBB
31/12/2013,IQ32590567,0.003216595,0.009565846999999999,0.20875,0.43725625,-0.062662885,0.011578928999999998,-5.5728,1.2117,1.5267463209999999,1.934523705,5.052121653,5.378918445,0.292964479,0.423242925,9.995031951,12.13190425,179.1553,58.397225,0.277388859,0.19421869,0.715421304,0.7534674659999999,BB,BB
30/09/2013,IQ251349,0.010091511,0.016269778999999998,0.588545,0.59657175,0.048033782000000004,0.125176536,3.7468,8.1694,2.313459688,2.3622569159999998,1.174104716,1.2855379279999999,0.260643108,0.26779301,50.39541254,22.84781708,42.0382,19.888825,0.274098456,0.265657994,1.506964964,1.6447891819999998,BBB-,BBB
31/12/2014,IQ226200263,0.04958630000000001,0.02234666,1.8712790000000001,0.961147,2.386123661,0.186590035,59.3068,0.8786,1.7272568190000002,1.6177500530000002,0.746028861,0.94426173,0.218345665,0.151101401,62.4879,102.62801479999999,380.684,174.819925,0.138796225,0.149339904,1.336055552,1.383671715,B+,B+
30/09/2014,IQ131112810,0.013949538999999999,-0.009349054,0.537151,0.37065233299999994,0.095975232,-0.337146137,5.8608,-22.215,1.961922894,1.9871716119999998,1.431558069,1.567729098,0.248908297,0.234400275,46.26660613,42.20799999,179.8387,134.9839,0.313440078,0.407833426,0.994065282,0.92375467,BB+,BBB+
31/03/2017,IQ258589,0.028378059,0.031166653,0.363697,0.3412685,0.277641278,0.212362873,26.6176,22.0226,2.701952126,2.578070772,3.825671191,3.3732747410000004,0.496624092,0.47322443299999994,30.75837486,30.02710177,33.086,21.839975,0.35006235799999996,0.406592712,1.197360617,1.284395802,BBB-,BBB-
