Utilidad Operacional del Trimestre / Activo Total,Utilidad Operacional del Trimestre / Activo Total (Promedio LTM),Margen EBITDA del Trimestre,Margen EBITDA del Trimestre (Promedio LTM),Margen Neto del Trimestre,Margen Neto del Trimestre (Promedio LTM),Utilidad Neta del Trimestre Anualizada / Total Patrimonio,Utilidad Neta del Trimestre Anualizada / Total Patrimonio (Promedio LTM),Total Activo / Total Patrimonio,Total Activo / Total Patrimonio (Promedio LTM),Deuda Neta / EBITDA del Trimestre Anualizado,Deuda Neta / EBITDA del Trimestre Anualizado (Promedio LTM),Deuda de Corto Plazo / Deuda Total,Deuda de Corto Plazo / Deuda Total (Promedio LTM),Deuda Bruta / Activo,Deuda Bruta / Activo (Promedio LTM),EBITDA del Trimestre Anualizado / Intereses,EBITDA del Trimestre Anualizado / Intereses (Promedio LTM),EBITDA del Trimestre Anualizado / Deuda Corto Plazo,EBITDA del Trimestre Anualizado / Deuda Corto Plazo (Promedio LTM),Crecimiento del EBITDA Últimos 12 Meses EBITDA,Crecimiento del EBITDA Últimos 12 Meses EBITDA (Promedio LTM),Ingresos del Trimestre Anualizados / Total Activo,Ingresos del Trimestre Anualizados / Total Activo (Promedio LTM),Activo Corto Plazo / Pasivo Corto Plazo,Activo Corto Plazo / Pasivo Corto Plazo (Promedio LTM),Rating Soberano País de Origen Deuda LP Moneda Extranjera,Periodo,Rating Predicc,Rating Pure,Rating Local Trad
0.153348511,0.133009315,0.130746707,0.126674716,0.047457003,0.044634167,0.380878975,0.395623433,4.345378928,5.26682368,0.926929696,1.319937921,0.302669595,0.393316984,0.394747899,0.453038948,10.20881501,11.87681853,2.021162219,1.403466342,0.206654435,0.032162236,1.84696657,1.71649618,1.196759693,1.117000119,BBB+,2T19,BB+,BBB-,AA
0.153348511,0.143178913,0.130746707,0.128710711,0.047457003,0.046045585,0.380878975,0.388251204,4.345378928,4.806101304,0.926929696,1.123433808,0.302669595,0.347993289,0.394747899,0.423893423,10.20881501,11.04281677,2.021162219,1.712314281,0.206654435,0.119408335,1.84696657,1.781731375,1.196759693,1.156879906,BBB+,3T19,BB+,BBB-,AA
0.153348511,0.153348511,0.130746707,0.130746707,0.047457003,0.047457003,0.380878975,0.380878975,4.345378928,4.345378928,0.926929696,0.926929696,0.302669595,0.302669595,0.394747899,0.394747899,10.20881501,10.20881501,2.021162219,2.021162219,0.206654435,0.206654435,1.84696657,1.84696657,1.196759693,1.196759693,BBB+,4T19,BB+,BB,A+
0.15296459,0.15325253,0.133583306,0.131455857,0.051194654,0.048391416,0.333537265,0.369043547,3.655937382,4.173018541,0.552086738,0.833218956,0.344456523,0.313116327,0.365125591,0.387342322,13.23319873,10.96491094,1.892764171,1.989062707,0.093214052,0.178294339,1.7820546,1.830738578,1.309640165,1.224979811,BBB+,1T20,BB+,BBB-,AA
0.15296459,0.15315655,0.133583306,0.132165006,0.051194654,0.049325828,0.333537265,0.35720812,3.655937382,4.000658155,0.552086738,0.739508217,0.344456523,0.323563059,0.365125591,0.379936745,13.23319873,11.72100687,1.892764171,1.956963195,0.093214052,0.149934243,1.7820546,1.814510585,1.309640165,1.253199929,BBB+,2T20,BB+,BBB-,AA
0.15296459,0.15306057,0.133583306,0.132874156,0.051194654,0.050260241,0.333537265,0.345372693,3.655937382,3.828297769,0.552086738,0.645797477,0.344456523,0.334009791,0.365125591,0.372531168,13.23319873,12.4771028,1.892764171,1.924863683,0.093214052,0.121574148,1.7820546,1.798282593,1.309640165,1.281420047,BBB+,3T20,BB+,BB,A+
0.15296459,0.15296459,0.133583306,0.133583306,0.051194654,0.051194654,0.333537265,0.333537265,3.655937382,3.655937382,0.552086738,0.552086738,0.344456523,0.344456523,0.365125591,0.365125591,13.23319873,13.23319873,1.892764171,1.892764171,0.093214052,0.093214052,1.7820546,1.7820546,1.309640165,1.309640165,BBB+,4T20,BB+,BBB-,AA
0.159985444,0.154719803,0.140026589,0.135194127,0.056142826,0.052431697,0.302327326,0.32573478,3.109146116,3.519239566,0.195336505,0.46289918,0.418021387,0.362847739,0.329263244,0.356160005,14.84835871,13.63698873,1.762019668,1.860078045,0.121610588,0.100313186,1.731976508,1.769535077,1.387720957,1.329160363,BBB+,1T21,BB+,BBB-,AA
0.159985444,0.156475017,0.140026589,0.136804947,0.056142826,0.05366874,0.302327326,0.317932295,3.109146116,3.382541749,0.195336505,0.373711622,0.418021387,0.381238955,0.329263244,0.347194418,14.84835871,14.04077872,1.762019668,1.82739192,0.121610588,0.10741232,1.731976508,1.757015554,1.387720957,1.348680561,BBB+,2T21,BB+,BBB-,AA
0.159985444,0.15823023,0.140026589,0.138415768,0.056142826,0.054905783,0.302327326,0.310129811,3.109146116,3.245843933,0.195336505,0.284524063,0.418021387,0.399630171,0.329263244,0.338228831,14.84835871,14.44456872,1.762019668,1.794705794,0.121610588,0.114511454,1.731976508,1.744496031,1.387720957,1.368200759,BBB+,3T21,BB+,BBB-,AA
0.159985444,0.159985444,0.140026589,0.140026589,0.056142826,0.056142826,0.302327326,0.302327326,3.109146116,3.109146116,0.195336505,0.195336505,0.418021387,0.418021387,0.329263244,0.329263244,14.84835871,14.84835871,1.762019668,1.762019668,0.121610588,0.121610588,1.731976508,1.731976508,1.387720957,1.387720957,BBB+,4T21,BB+,BBB-,AA
0.159670164,0.159906624,0.141357813,0.140359395,0.057645619,0.056518524,0.265743575,0.293181388,2.699334402,3.006693188,-0.126613373,0.114849036,0.358626294,0.403172613,0.285251615,0.318260337,16.74020302,15.32131979,2.35987693,1.911483984,0.080172421,0.111251046,1.707810893,1.725935104,1.576298878,1.434865437,BBB+,1T22,BB+,BBB-,AA
0.159670164,0.159827804,0.141357813,0.140692201,0.057645619,0.056894223,0.265743575,0.28403545,2.699334402,2.904240259,-0.126613373,0.034361566,0.358626294,0.38832384,0.285251615,0.30725743,16.74020302,15.79428087,2.35987693,2.060948299,0.080172421,0.100891504,1.707810893,1.7198937,1.576298878,1.482009917,BBB+,2T22,BB+,BB+,AA-
0.159670164,0.159748984,0.141357813,0.141025007,0.057645619,0.057269921,0.265743575,0.274889513,2.699334402,2.801787331,-0.126613373,-0.046125903,0.358626294,0.373475067,0.285251615,0.296254523,16.74020302,16.26724195,2.35987693,2.210412614,0.080172421,0.090531962,1.707810893,1.713852297,1.576298878,1.529154398,BBB+,3T22,BB+,BB+,AA-
0.159670164,0.159670164,0.141357813,0.141357813,0.057645619,0.057645619,0.265743575,0.265743575,2.699334402,2.699334402,-0.126613373,-0.126613373,0.358626294,0.358626294,0.285251615,0.285251615,16.74020302,16.74020302,2.35987693,2.35987693,0.080172421,0.080172421,1.707810893,1.707810893,1.576298878,1.576298878,BBB+,4T22,BB+,BB+,AA-
